location,bath,price,bhk,sqft
Electronic City Phase II,2,39.07,2,1056.0
Uttarahalli,2,62.0,3,1440.0
Lingadheeranahalli,3,95.0,3,1521.0
Kothanur,2,51.0,2,1200.0
Old Airport Road,4,204.0,4,2732.0
Rajaji Nagar,4,600.0,4,3300.0
Whitefield,5,295.0,4,2785.0
7th Phase JP Nagar,2,38.0,2,1000.0
Gottigere,2,40.0,2,1100.0
Sarjapur,3,148.0,3,2250.0
Mysore Road,2,73.5,2,1175.0
Bisuvanahalli,3,48.0,3,1180.0
Other,4,290.0,3,2770.0
Kengeri,1,15.0,1,600.0
Binny Pete,3,122.0,3,1755.0
Thanisandra,5,380.0,4,2800.0
Bellandur,3,103.0,3,1767.0
Thanisandra,1,25.25,1,510.0
Whitefield,3,81.0,3,1610.0
Ramagondanahalli,2,48.77,2,1151.0
Electronic City,2,47.0,3,1025.0
Yelahanka,4,186.0,4,2475.0
Hebbal,2,123.0,3,1760.0
Kasturi Nagar,3,125.0,3,1925.0
Kundalahalli,3,125.0,3,1724.0
Uttarahalli,2,45.0,2,1143.0
Murugeshpalya,2,81.0,2,1296.0
Other,1,38.0,1,600.0
Yelahanka,1,48.0,1,660.0
Kanakpura Road,2,91.79,2,1330.74
Doddathoguru,2,33.0,2,970.0
Whitefield,2,94.82,2,1459.0
KR Puram,1,130.0,2,800.0
Lakshminarayana Pura,2,75.0,2,1185.0
Begur Road,2,44.0,2,1200.0
Devanahalli,4,192.0,4,3210.0
Other,2,185.0,2,1500.0
Other,2,55.0,2,845.0
Varthur,2,44.0,2,1160.0
Bommanahalli,8,140.0,8,3000.0
Doddathoguru,2,62.0,2,1100.0
Gunjur,2,43.0,2,1140.0
Marathahalli,2,57.0,2,1220.0
Begur Road,2,80.58,2,1358.0
Hegde Nagar,3,101.0,3,1569.0
Haralur Road,2,70.0,2,1240.0
Hennur Road,3,140.0,3,2089.0
Kothannur,2,48.23,2,1206.0
Kalena Agrahara,2,40.0,2,1150.0
Other,3,205.0,3,2511.0
ISRO Layout,6,250.0,6,4400.0
Other,2,105.0,3,1660.0
Hennur Road,4,224.5,4,3203.5
